step,train_loss,train_loss_timestamp,train_action_l1,train_action_l1_timestamp,eval_action_l1,eval_action_l1_timestamp,lr,lr_timestamp
12300,0.0701861530542373,1781290636000.0,0.0673015117645263,1781290636000.0,,,0.0001,1781290636000.0
12350,0.0697958916425705,1781290651000.0,0.0690477266907692,1781290651000.0,,,0.0001,1781290651000.0
12400,0.0703756138682365,1781290666000.0,0.0672477632761001,1781290666000.0,,,0.0001,1781290666000.0
12450,0.0686084851622581,1781290680000.0,0.0650053918361663,1781290680000.0,,,0.0001,1781290680000.0
12500,0.0734375342726707,1781290694000.0,0.0704518482089042,1781290694000.0,,,0.0001,1781290694000.0
12550,0.0683506354689598,1781290709000.0,0.0659330412745475,1781290709000.0,,,0.0001,1781290709000.0
12564,,,,,0.1525104641914367,1781290919000.0,,
12600,0.0681632235646247,1781290933000.0,0.0655765309929847,1781290933000.0,,,0.0001,1781290933000.0
12650,0.0606471970677375,1781290947000.0,0.0593464486300945,1781290947000.0,,,0.0001,1781290947000.0
12700,0.0643515884876251,1781290961000.0,0.0632356628775596,1781290961000.0,,,0.0001,1781290961000.0
12750,0.0700052380561828,1781290977000.0,0.0665052384138107,1781290977000.0,,,0.0001,1781290977000.0
12800,0.0689317733049392,1781290991000.0,0.0680674836039543,1781290991000.0,,,0.0001,1781290991000.0
12850,0.0684891268610954,1781291005000.0,0.0659175142645835,1781291005000.0,,,0.0001,1781291005000.0
12900,0.0689867585897445,1781291020000.0,0.0659689754247665,1781291020000.0,,,0.0001,1781291020000.0
12950,0.0648944452404975,1781291036000.0,0.0621886141598224,1781291036000.0,,,0.0001,1781291036000.0
